content,score,label_sentiment,label_topic
tốt,5,2,0
nạp lẹ rút tiền khi cần thì thường xuyên lỗi không nên tải ứng dụng nha mọi người khi cần tiền thì đội quần,1,0,2
chuyển tiền để thanh toán cho họ mà chờ 2 ngày chưa xong tao lạy ứng dụng lởm này luôn,1,0,2
tối ưu cho android rất kém ví dụ vào mua vé xem film rất giật mặc dù đang dùng z fold 6,1,0,3
không thanh toán được hóa đơn điện máy xanh bằng mã mã qr,1,0,2
nào có câu trả lời quỹ có an toàn không thì đánh giá lại ngồi chờ tải dữ liệu quá lâu luôn muốn nghi ngờ dịch vụ này luôn á,2,0,0
quá giật,1,0,3
momo có thể làm được việc này sẽ được phát triển kinh doanh của mình,5,2,0
good ứng dụng trải nghiệm rất hay nhiều chương trình mới đấy,5,2,0
tốt,5,2,0
bị kẹt tiền không về làm ăn tệ,1,0,2
hay,5,2,0
chuyển tiền bị giật cứ hẹn 2 ngày rồi nhắn tin chăm sóc khách hàng hẹn 2 ngày nữa,1,0,0
rất tốt,5,2,0
tốt,5,2,0
tốt,5,2,0
cảm ơn,5,2,0
ứng dụng thoát liên tục quét mã chuyển tiền là bị thoát ra không đáng tin cậy tôi sẽ không sử dụng ứng dụng nữa,1,0,2
có momo giúp cải thiện cả,5,2,0
tốt,5,2,0
tốt,5,2,0
ứng dụng cài cái gì mà nóng máy kinh khủng ứng dụng còn nóng máy hơn chơi game,1,0,0
sao không vào được ứng dụng,1,0,1
ứng dụng như quần què cho voucher mà đéo bao giờ sử dụng được lỗi lên lỗi xuống sao đéo ứng dụng dụng voucher highland coffee khi thanh toán bằng momo con mẹ nó cho rồi đi vòng vòng vèo vèo bắt đặt hàng trên miniapp cho đã xong do code ngu như chó nên mãi đéo thành công được phí con mẹ nó 30p cuộc đời bực cae mình ứng dụng lồn,1,0,2
tốt,5,2,0
hữu ích,3,1,0
rất tốt,5,2,0
chăm sóc khách hàng rất tệ không giải quyết được vấn đề,1,0,0
tốt,5,2,0
dạo này momo sao ấy mạng mạnh bình thường mà thực hiện thanh toán rất chậm và bị giật nữa cả tuần nay rồi 19 12 2025,4,2,2
ứng dụng lừa đảo trừ tiền the không lý do mọi người không nên dùng,1,0,2
vay mà không gửi mã xác thực cho người ta mà hiện lên nhập sai rồi khóa,1,0,1
ứng dụng rất vô dụng trong phần nạp thẻ điện thoại mỗi lần nạp dù là số vừa nạp lại nạp thêm cũng vẫn phải viết lại số điện thoại gây phiền toái quá không biết đường lưu lại để người ta chỉ cần ấn vào chọn số để nạp à ứng dụng còn không cải thiện thì chẳng mấy gỡ bỏ thôi,2,0,2
