app_name,content,score,at,label_sentiment,label_topic
Momo,tốt,5,2025-12-21 21:57:48,2,
Momo,nạp lẹ rút tiền khi cần thì thường xuyên lỗi k nên tải app nha mọi người khi cần tiền thì đội quần,1,2025-12-21 21:01:39,0,
Momo,Chuyển tiền để thanh toán cho họ mà chờ 2 ngày chưa xong. T lạy app lỏ này lun,1,2025-12-21 20:59:46,0,
Momo,tối ưu cho android rất kém. ví dụ vào mua vé xem film rất lag mặc dù đang dùng z fold 6.,1,2025-12-21 19:33:38,0,
Momo,Không thanh toán được hóa đơn Điện máy xanh bằng mã QR,1,2025-12-21 13:43:22,0,
Momo,"nào có câu trả lời Quỹ Có An Toàn Không ? thì đánh giá lại . Ngồi chờ tải dữ liệu quá lâu luôn , muốn nghi ngờ dịch vụ này luôn á",2,2025-12-21 13:41:14,0,
Momo,quá lag,1,2025-12-21 13:39:47,0,
Momo,momo có thể làm được việc này sẽ được phát triển kinh doanh của mình,5,2025-12-21 13:27:52,2,
Momo,"good app trải nghiệm rất hay , nhiều chương trình mới đấy",5,2025-12-21 13:17:30,2,
Momo,ok,5,2025-12-21 13:17:25,2,
Momo,bị kẹt tiền ko về làm ăn tệ,1,2025-12-21 12:56:24,0,
Momo,hay,5,2025-12-21 12:07:15,2,
Momo,chuyển tien bi treo cứ hen 2 ngay roi nt chăm sóc khách hàng hen 2 ngay nửa,1,2025-12-21 11:21:07,0,
Momo,rất tốt,5,2025-12-21 08:42:06,2,
Momo,tốt,5,2025-12-21 07:59:58,2,
Momo,ok,5,2025-12-21 01:16:56,2,
Momo,cảm ơn,5,2025-12-20 23:48:56,2,
Momo,"app crash liên tục, quét mã chuyển tiền là bị văng ra, ko đáng tin cậy, tôi sẽ không sử dụng app nữa",1,2025-12-20 21:32:24,0,
Momo,Có Momo Giúp Cải Thiện Cả,5,2025-12-20 21:01:44,2,
Momo,tốt,5,2025-12-20 19:21:46,2,
Momo,ok,5,2025-12-20 16:45:29,2,
Momo,App cài cái gì mà nóng máy kinh khủng. App còn nóng máy hơn chơi game.,1,2025-12-20 12:39:50,0,
Momo,sao ko vào được app.,1,2025-12-20 10:58:23,0,
Momo,"app như quần què, cho voucher mà éo bao giờ sử dụng được, lỗi lên lỗi xuống. Sao éo áp dụng voucher highland coffee khi thanh toán bằng momo cmn cho rồi đi, vòng vòng vèo vèo bắt đặt hàng trên miniapp cho đã xong do code ngu như chó nên mãi éo thành công được, phí cmn 30p cuộc đời bực cae mình. app loz",1,2025-12-20 10:30:52,0,
Momo,ok,5,2025-12-20 08:28:51,2,
Momo,hữu ích,3,2025-12-20 06:42:29,1,
Momo,rất tốt,5,2025-12-19 22:34:45,2,
Momo,cskh rất tẹ.không giải quyết được vấn đề.,1,2025-12-19 22:07:16,0,
Momo,tốt,5,2025-12-19 19:34:58,2,
Momo,"Dạo này Momo sao ấy, wifi mạnh bình thường mà thực hiện thanh toán rất chậm và bị đơ nữa. Cả tuần nay rồi (19/12/2025)",4,2025-12-19 19:11:03,2,
Momo,ứng dụng lừa đảo trừ tiền the ko lý do mn ko nên dùng,1,2025-12-19 18:36:00,0,
Momo,vay mà k gửi otp cho ngt mà hiện lên nhập sai rồi khóa 🤡,1,2025-12-19 17:57:15,0,
Momo,"ứng dụng rất vô dụng trong phần nạp thẻ điện thoại, mỗi lần nạp dù là số vừa nạp lại nạp thêm cũng vẫn phải viết lại số điện thoại, gây phiền toái quá, không biết đường lưu lại để người ta chỉ cần ấn vào chọn số để nạp à. ứng dụng còn không cải thiện thì chẳng mấy gỡ bỏ thôi",2,2025-12-19 15:27:52,0,
Momo,"Ông cố nội t app momo à, gọi cskh tốn tiền vl mà không cấp lại đc cái mật khẩu, mà mật khẩu cũ không nhập sai, do app lỗi, app cũng k hỗ trợ gmail hay vân tay hay chụp chân dung xác thực, cứ báo lỗi giới hạn chụp chân dung. App cùi điêng, tức vl",1,2025-12-19 15:17:22,0,
Momo,tạm ngưng gói cước MobiFone thì 1 sao . Mày khỏi cảm ơn,1,2025-12-19 13:40:26,0,
Momo,Nó làm game.Tự mua bảo hiểm oto và nhiều thứ khác.Góp quỹ thì không thể lấy lại,1,2025-12-19 12:22:34,0,
Momo,sau chỗ 4g MobiFone ngừng hoạt động rồi ad,5,2025-12-19 12:15:13,2,
Momo,ok good,5,2025-12-19 11:30:20,2,
Momo,lỡ gỡ cài đặt giờ dg nhập lại khó vậy!!!!😭😭,3,2025-12-19 11:02:37,1,
Momo,Ok,5,2025-12-19 05:15:53,2,
Momo,gói cước data ko được bán hợp lí dịch vụ quá tồi tệ,1,2025-12-18 23:51:46,0,
Momo,hay,5,2025-12-18 21:41:47,2,
Momo,bị trừ mà app mà tôi không đăng ký gói hay mua gì từ app kiểm tra nhật ký mua hàng trên chplay không có vẫn trừ báo cáo thì giải quyết cho có,1,2025-12-18 19:08:47,0,
